"NSFTV.ID","PSA_19_2014","PSA_21_2014","PSA_22_2014","PSA_25_2014","PSA_26_2014","PSA_27_2014","PSA_28_2014","PSA_29_2014","PSA_30_2014","PSA_31_2014","PSA_32_2014","PSA_33_2014","PSA_34_2014","PSA_35_2014","PSA_36_2014","PSA_37_2014","PSA_38_2014","PSA_39_2014","PSA_40_2014","PSA_41_2014"
"NSFTV_16",43583.66796,61433.19678,71634.57341,91956.97439,103144.7054,115905.7251,128500.7572,145450.4401,164208.3218,182120.6473,199156.5686,217424.859,244079.2078,265463.431,287757.2303,316562.2969,350784.1558,384191.6976,418160.6094,452694.9931
"NSFTV_160",37703.09378,53939.35965,61778.94278,81870.8802,93578.68977,109177.8543,125960.6763,140142.8291,152331.8368,175129.2582,196141.6396,218163.0081,233370.5239,261598.9229,294729.2055,335625.1468,359237.5054,398770.8868,431284.2295,448956.4499
"NSFTV_161",34771.96878,49760.23465,59039.06778,78267.2552,91454.31477,106737.7293,124720.4263,142981.0791,159048.4618,182497.0082,199481.7646,229162.7581,252560.7739,281647.4229,312154.5805,346961.1468,369391.8804,395926.2618,435500.2295,446114.5749
"NSFTV_162",41145.84378,58820.60965,69246.19278,90111.8802,106571.3148,121671.4793,149208.4263,167095.2041,193701.3368,212697.7172,252622.8896,275444.1331,302143.5239,333308.4229,373372.9555,423325.5218,460653.0054,507585.7618,546118.2295,584114.1999
"NSFTV_163",57883.20394,77629.72836,89573.42979,119727.5793,135790.0853,161334.1276,187091.5282,213995.4557,224100.8449,255141.314,273080.7734,320500.5359,356384.0211,392839.7601,430587.5308,461478.1203,473628.6618,511585.7606,550420.6311,584249.1372
"NSFTV_164",28531.59378,36436.88764,41689.69278,55276.3802,62594.31477,72593.72929,84387.80135,95127.07913,105306.3368,119188.8832,132755.7051,146125.7581,161285.0239,184965.5479,203559.3305,226291.0218,247875.2554,264702.2618,295316.2295,319637.2789
"NSFTV_165",32631.46878,46053.10965,52666.31778,70952.3802,83713.56477,94932.22929,109084.9263,127244.7041,140343.3368,163267.7172,175420.1396,198122.7581,221988.5239,252108.7979,280426.8305,309415.6468,336056.3804,375766.7618,418371.1045,454679.5749
"NSFTV_166",45582.87061,63984.06169,76998.92979,100767.246,116149.4186,131616.7943,152584.5282,171012.1223,189447.8449,207836.314,235424.9401,265738.7025,291826.5211,322194.9268,358475.6975,398818.4536,447262.3285,496818.594,538358.7978,531909.9744
"NSFTV_167",20736.25318,28687.39971,33704.28278,43167.15673,48015.87975,55673.72672,65678.4649,75461.14649,85819.21219,96756.29981,106644.7296,121696.2067,134617.0025,151539.668,169184.8651,193178.4524,215463.3131,239461.911,262885.612,289066.1542
"NSFTV_168",41001.96878,57192.85965,66189.56778,84983.8802,94168.68977,107115.2293,122125.0513,140015.0791,155994.8368,176734.3839,192202.0146,215908.6331,236127.1489,262491.0479,289971.8305,322430.2718,357297.1304,389515.2618,428937.3545,460776.6999
"NSFTV_169",43959.53728,60025.56169,70598.26313,95961.24595,109269.7519,124697.9609,145928.8615,168301.289,186166.0116,218782.7803,240079.4401,270107.3692,295279.0211,332758.4268,364381.6975,401881.1203,404549.3285,423365.2606,472924.4644,485746.1372
"NSFTV_17",26257.79296,37023.19678,44419.69841,60256.72439,69732.08043,82214.35014,97924.00716,111540.0651,128362.3218,142563.314,165733.4436,189682.859,215804.2078,238883.931,268725.4803,308341.7969,337147.9058,364637.1976,381676.1094,407826.3681
"NSFTV_170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
